system:index,GridID,count,max,mean,median,min,sum,.geo
000000000000000001c6,3684,31,641.0,112.61290322580645,0.0,0.0,3491.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999918090288,48.320000658296166],[121.01249901936659,48.32000072064839],[121.07499896706197,48.320000676650366],[121.13749874761872,48.320000689039],[121.199998643578,48.32000066928938],[121.26249851535259,48.32000065529712],[121.32499840428285,48.320000714823706],[121.38749833712558,48.32000066744904],[121.4499981442866,48.32000064470849],[121.4499981768313,48.819999648794365],[121.38749836577891,48.819999690590244],[121.32499849480548,48.81999969162304],[121.26249848997493,48.819999677904086],[121.19999867386174,48.819999641077864],[121.13749875864984,48.819999671473866],[121.07499891523643,48.81999963675216],[121.01249903867584,48.81999965691094],[120.94999908654155,48.81999966343032],[120.94999918090288,48.320000658296166]]]}"
000000000000000001c7,3685,28,380.0,21.75,0.0,0.0,609.0,"{""type"":""Polygon"",""coordinates"":[[[121.4499981442866,48.32000064470849],[121.5124985462778,48.32000067627928],[121.57499896692026,48.32000068004836],[121.6374993727303,48.32000066213847],[121.69999991169718,48.320000657468015],[121.76250026398955,48.32000067564071],[121.82500078879886,48.320000686665075],[121.88750116628522,48.320000700414624],[121.95000157416145,48.32000065797262],[121.95000162402387,48.819999710177655],[121.88750119399778,48.81999970558834],[121.82500073684763,48.819999703524736],[121.7625002844126,48.819999698135426],[121.69999986863213,48.8199996836096],[121.63749941480029,48.819999686768796],[121.57499906176945,48.819999669143726],[121.51249862822247,48.81999968993205],[121.4499981768313,48.819999648794365],[121.4499981442866,48.32000064470849]]]}"
000000000000000001c8,3686,4,369.0,132.0,79.5,0.0,528.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000157416145,48.32000065797262],[122.01250155818721,48.32000069607747],[122.07500132496449,48.32000066252015],[122.13750128232807,48.32000068009567],[122.20000113921986,48.32000066595471],[122.26250094008803,48.320000686782066],[122.32500086327623,48.32000068241466],[122.38750077145352,48.32000069156929],[122.4500005553069,48.32000065966847],[122.45000066103383,48.81999966883901],[122.3875007312336,48.81999969669169],[122.32500084251346,48.819999673900035],[122.26250099742565,48.8199996894494],[122.20000114910273,48.81999967661993],[122.13750122229808,48.81999966295371],[122.075001432571,48.81999967082848],[122.01250152041527,48.819999699548525],[121.95000162402387,48.819999710177655],[121.95000157416145,48.32000065797262]]]}"
000000000000000001dc,3714,54,12632.0,1942.7037037037037,635.5,0.0,104906.0,"{""type"":""Polygon"",""coordinates"":[[[120.45000018101992,48.81999966493732],[120.51250001887631,48.81999967882754],[120.57499994418613,48.819999660408264],[120.63749981578961,48.81999964731183],[120.69999967459009,48.81999970857701],[120.76249955084569,48.81999966251674],[120.82499945370863,48.81999967192214],[120.8874992745108,48.81999968066568],[120.94999908654155,48.81999966343032],[120.94999922644708,49.3199986927859],[120.88749925729593,49.319998651089065],[120.82499938625669,49.31999867202452],[120.7624995695004,49.31999868671256],[120.6999996554633,49.3199986578907],[120.63749982849825,49.31999870558522],[120.57499996986274,49.319998697437526],[120.51250000440056,49.319998658807],[120.45000022439199,49.31999867845901],[120.45000018101992,48.81999966493732]]]}"
000000000000000001dd,3715,5,9000.0,1930.4,0.0,0.0,9652.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999908654155,48.81999966343032],[121.01249903867584,48.81999965691094],[121.07499891523643,48.81999963675216],[121.13749875864984,48.819999671473866],[121.19999867386174,48.819999641077864],[121.26249848997493,48.819999677904086],[121.32499849480548,48.81999969162304],[121.38749836577891,48.819999690590244],[121.4499981768313,48.819999648794365],[121.44999812274935,49.3199986493787],[121.387498268721,49.31999865229584],[121.32499847396471,49.31999870056212],[121.26249850785933,49.31999869572153],[121.19999858752708,49.319998661815966],[121.13749882154765,49.319998655771776],[121.07499894857338,49.319998673717805],[121.01249910890034,49.3199986773223],[120.94999922644708,49.3199986927859],[120.94999908654155,48.81999966343032]]]}"
000000000000000001de,3716,11,415.0,37.72727272727273,0.0,0.0,415.0,"{""type"":""Polygon"",""coordinates"":[[[121.4499981768313,48.819999648794365],[121.51249862822247,48.81999968993205],[121.57499906176945,48.819999669143726],[121.63749941480029,48.819999686768796],[121.69999986863213,48.8199996836096],[121.7625002844126,48.819999698135426],[121.82500073684763,48.819999703524736],[121.88750119399778,48.81999970558834],[121.95000162402387,48.819999710177655],[121.95000163388679,49.319998677796015],[121.88750117615338,49.31999866794861],[121.8250007455278,49.319998682532315],[121.76250029483273,49.319998653812064],[121.6999998248573,49.319998671295366],[121.63749947451252,49.31999869633985],[121.5749990891618,49.3199986940044],[121.51249859205127,49.319998691248024],[121.44999812274935,49.3199986493787],[121.4499981768313,48.819999648794365]]]}"
000000000000000001df,3717,2,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000162402387,48.819999710177655],[122.01250152041527,48.819999699548525],[122.075001432571,48.81999967082848],[122.13750122229808,48.81999966295371],[122.20000114910273,48.81999967661993],[122.26250099742565,48.8199996894494],[122.32500084251346,48.819999673900035],[122.3875007312336,48.81999969669169],[122.45000066103383,48.81999966883901],[122.45000067250774,49.3199986838896],[122.38750068357336,49.31999865960587],[122.32500088145788,49.319998665579504],[122.26250100128749,49.319998702413805],[122.20000110236016,49.31999866913259],[122.1375012644259,49.31999871737311],[122.0750013604851,49.31999871800982],[122.0125014212345,49.3199986653687],[121.95000163388679,49.319998677796015],[121.95000162402387,48.819999710177655]]]}"
000000000000000001e0,3718,24,1721.0,131.45833333333334,0.0,0.0,3155.0,"{""type"":""Polygon"",""coordinates"":[[[122.45000066103383,48.81999966883901],[122.5125005726625,48.81999969043585],[122.57500035702559,48.81999970624651],[122.6375001961309,48.81999965454535],[122.7000001100595,48.819999696121094],[122.7625000175193,48.81999968100395],[122.82499986034946,48.81999970934158],[122.88749974199727,48.81999965799048],[122.94999968385366,48.81999968750564],[122.94999962416979,49.31999870298293],[122.88749976395007,49.31999867608901],[122.82499996205631,49.3199986874773],[122.76249998035752,49.31999864382761],[122.70000019525143,49.31999868922734],[122.63750028935716,49.31999866885696],[122.57500037203242,49.319998638577125],[122.51250044444105,49.31999868848615],[122.45000067250774,49.3199986838896],[122.45000066103383,48.81999966883901]]]}"
000000000000000001f0,3740,0,,,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[120.45000022439199,49.31999867845901],[120.51250000440056,49.319998658807],[120.57499996986274,49.319998697437526],[120.63749982849825,49.31999870558522],[120.6999996554633,49.3199986578907],[120.7624995695004,49.31999868671256],[120.82499938625669,49.31999867202452],[120.88749925729593,49.319998651089065],[120.94999922644708,49.3199986927859],[120.94999918198363,49.820002116304885],[120.88749923644036,49.82000214154431],[120.82499945951847,49.820002155802634],[120.76249958632391,49.82000215432904],[120.69999964854723,49.82000213103039],[120.63749975454509,49.82000214357477],[120.5749998594081,49.820002122342714],[120.5125000714535,49.82000212519589],[120.4500001267008,49.82000214610355],[120.45000022439199,49.31999867845901]]]}"
000000000000000001f1,3741,1,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999922644708,49.3199986927859],[121.01249910890034,49.3199986773223],[121.07499894857338,49.319998673717805],[121.13749882154765,49.319998655771776],[121.19999858752708,49.319998661815966],[121.26249850785933,49.31999869572153],[121.32499847396471,49.31999870056212],[121.387498268721,49.31999865229584],[121.44999812274935,49.3199986493787],[121.44999815264288,49.82000212838654],[121.38749823967505,49.8200021292691],[121.32499835761111,49.82000213223018],[121.26249853700124,49.82000213166459],[121.19999869890763,49.82000215472164],[121.13749879648155,49.820002132372615],[121.07499893831525,49.820002122065986],[121.01249904567413,49.82000215061573],[120.94999918198363,49.820002116304885],[120.94999922644708,49.3199986927859]]]}"
